Province,Health Region,Health District
Toamasina,Alaotra-Mangoro,Ambatondrazaka
Toamasina,Alaotra-Mangoro,Amparafaravola
Toamasina,Alaotra-Mangoro,Andilamena
Toamasina,Alaotra-Mangoro,Anosibe-An'ala
Toamasina,Alaotra-Mangoro,Moramanga
Toamasina,Ambatosoa,Mananara Avaratra
Toamasina,Ambatosoa,Maroantsetra
Fianarantsoa,Amoron'i Mania,Ambatofinandrahana
Fianarantsoa,Amoron'i Mania,Ambositra
Fianarantsoa,Amoron'i Mania,Fandriana
Fianarantsoa,Amoron'i Mania,Manandriana
Antananarivo,Analamanga,Ambohidratrimo
Antananarivo,Analamanga,Andramasina
Antananarivo,Analamanga,Anjozorobe
Antananarivo,Analamanga,Ankazobe
Antananarivo,Analamanga,Antananarivo-Atsimondrano
Antananarivo,Analamanga,Antananarivo-Avaradrano
Antananarivo,Analamanga,Antananarivo-Renivohitra
Antananarivo,Analamanga,Manjakandriana
Toamasina,Analanjirofo,Fenoarivo-Atsinanana
Toamasina,Analanjirofo,Nosy Boraha
Toamasina,Analanjirofo,Soanierana-Ivongo
Toamasina,Analanjirofo,Vavatenina
Toliara,Androy,Ambovombe-Androy
Toliara,Androy,Bekily
Toliara,Androy,Beloha
Toliara,Androy,Tsihombe
Toliara,Anosy,Amboasary-Atsimo
Toliara,Anosy,Betroka
Toliara,Anosy,Taolagnaro
Toliara,Atsimo-Andrefana,Ampanihy
Toliara,Atsimo-Andrefana,Ankazoabo-Atsimo
Toliara,Atsimo-Andrefana,Betioky-Atsimo
Toliara,Atsimo-Andrefana,Morombe
Toliara,Atsimo-Andrefana,Sakaraha
Toliara,Atsimo-Andrefana,Toliara I
Toliara,Atsimo-Andrefana,Toliara II
Fianarantsoa,Atsimo-Atsinanana,Befotaka
Fianarantsoa,Atsimo-Atsinanana,Midongy-Atsimo
Fianarantsoa,Atsimo-Atsinanana,Vangaindrano
Fianarantsoa,Atsimo-Atsinanana,Vondrozo
Toamasina,Atsinanana,Antanambao-Manampotsy
Toamasina,Atsinanana,Mahanoro
Toamasina,Atsinanana,Marolambo
Toamasina,Atsinanana,Toamasina I
Toamasina,Atsinanana,Toamasina II
Toamasina,Atsinanana,Vatomandry
Toamasina,Atsinanana,Vohibinany
Mahajanga,Betsiboka,Kandreho
Mahajanga,Betsiboka,Maevatanana
Mahajanga,Betsiboka,Tsaratanana
Mahajanga,Boeny,Ambato-Boeni
Mahajanga,Boeny,Mahajanga I
Mahajanga,Boeny,Mahajanga II
Mahajanga,Boeny,Marovoay
Mahajanga,Boeny,Soalala
Antananarivo,Bongolava,Fenoarivo-Afovoany
Antananarivo,Bongolava,Tsiroanomandidy
Antsiranana,Diana,Ambanja
Antsiranana,Diana,Ambilobe
Antsiranana,Diana,Antsiranana I
Antsiranana,Diana,Antsiranana II
Antsiranana,Diana,Nosy Be
Fianarantsoa,Fitovinany,Ikongo
Fianarantsoa,Fitovinany,Manakara-Atsimo
Fianarantsoa,Fitovinany,Vohipeno
Fianarantsoa,Ihorombe,Iakora
Fianarantsoa,Ihorombe,Ihosy
Fianarantsoa,Ihorombe,Ivohibe
Antananarivo,Itasy,Arivonimamo
Antananarivo,Itasy,Miarinarivo
Antananarivo,Itasy,Soavinandriana
Fianarantsoa,Matsiatra Ambony,Ambalavao
Fianarantsoa,Matsiatra Ambony,Ambohimahasoa
Fianarantsoa,Matsiatra Ambony,Fianarantsoa I
Fianarantsoa,Matsiatra Ambony,Ikalamavony
Fianarantsoa,Matsiatra Ambony,Isandra
Fianarantsoa,Matsiatra Ambony,Lalangina
Fianarantsoa,Matsiatra Ambony,Vohibato
Mahajanga,Melaky,Ambatomainty
Mahajanga,Melaky,Antsalova
Mahajanga,Melaky,Besalampy
Mahajanga,Melaky,Maintirano
Mahajanga,Melaky,Morafenobe
Toliara,Menabe,Belon'i Tsiribihina
Toliara,Menabe,Mahabo
Toliara,Menabe,Manja
Toliara,Menabe,Miandrivazo
Toliara,Menabe,Morondava
Antsiranana,Sava,Andapa
Antsiranana,Sava,Antalaha
Antsiranana,Sava,Sambava
Antsiranana,Sava,Vohemar
Mahajanga,Sofia,Analalava
Mahajanga,Sofia,Antsohihy
Mahajanga,Sofia,Bealanana
Mahajanga,Sofia,Befandriana Avaratra
Mahajanga,Sofia,Mampikony
Mahajanga,Sofia,Mandritsara
Antananarivo,Vakinankaratra,Ambatolampy
Antananarivo,Vakinankaratra,Antanifotsy
Antananarivo,Vakinankaratra,Antsirabe I
Antananarivo,Vakinankaratra,Antsirabe II
Antananarivo,Vakinankaratra,Betafo
Antananarivo,Vakinankaratra,Faratsiho
Antananarivo,Vakinankaratra,Mandoto
Fianarantsoa,Vatovavy,Ifanadiana
Fianarantsoa,Vatovavy,Mananjary
Fianarantsoa,Vatovavy,Nosy Varika
